Idusuario,Deslogin,Dessenha,Dtcadastro
9,ailton,123456,2019-10-29 19:43:25
12,Ailton,456789,2019-10-29 19:43:26
14,ailton,123456,2019-10-29 20:42:37
17,Ailton,456789,2019-10-29 20:42:37
19,ailton,123456,2019-10-29 20:43:58
22,Ailton,456789,2019-10-29 20:43:58
24,ailton,123456,2019-10-29 20:44:18
27,Ailton,456789,2019-10-29 20:44:18
29,ailton,123456,2019-10-29 20:44:53
32,Ailton,456789,2019-10-29 20:44:53
34,ailton,123456,2019-10-29 21:05:59
37,Ailton,456789,2019-10-29 21:05:59
39,ailton,123456,2019-11-02 07:57:11
42,Ailton,456789,2019-11-02 07:57:11
44,ailton,123456,2019-11-02 08:16:40
47,Ailton,456789,2019-11-02 08:16:40
48,Ailton,123456,2019-11-02 09:19:56
49,Ailton,123456,2019-11-02 09:31:29
11,master,root,2019-10-29 19:43:26
16,master,root,2019-10-29 20:42:37
21,master,root,2019-10-29 20:43:58
26,master,root,2019-10-29 20:44:18
31,master,root,2019-10-29 20:44:53
36,master,root,2019-10-29 21:05:59
41,master,root,2019-11-02 07:57:11
46,master,root,2019-11-02 08:16:40
6,root,123456,2019-10-29 19:40:55
10,root,456789,2019-10-29 19:43:25
15,root,456789,2019-10-29 20:42:37
20,root,456789,2019-10-29 20:43:58
25,root,456789,2019-10-29 20:44:18
30,root,456789,2019-10-29 20:44:53
35,root,456789,2019-10-29 21:05:59
40,root,456789,2019-11-02 07:57:11
45,root,456789,2019-11-02 08:16:40
51,root,123456,2019-11-02 09:58:25
52,root,123456,2019-11-02 09:58:39
53,root,123456,2019-11-02 10:00:15
50,teste,123456,2019-11-02 09:31:29
4,user,123456,2019-10-29 19:40:22
5,user,123456,2019-10-29 19:40:25
7,user,123456,2019-10-29 19:42:32
13,user,123456,2019-10-29 20:42:37
18,user,123456,2019-10-29 20:43:58
23,user,123456,2019-10-29 20:44:18
28,user,123456,2019-10-29 20:44:53
33,user,123456,2019-10-29 21:05:59
38,user,123456,2019-11-02 07:57:11
43,user,123456,2019-11-02 08:16:40
